smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
N=C1NCC(Cc2ccccc2Cl)C(=N)N1	1.28	-3.43	0.63	1.73			N=c1[nH]cc(Cc2ccccc2Cl)c(=N)[nH]1
O=NN(CCCl)C(=O)NCCO	-0.02	-1.76	0.47	1.47			O=NN(CCCl)C(=O)NCCO
NC(=O)Nc1ccc(Cl)cc1	1.58	-1.93	0.31	0.79			NC(=O)Nc1ccc(Cl)cc1
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2	2.66	-3.37	0.68	1.19			CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1
Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1	5.55	-5.83	0.30	1.21			Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1
error in CCOC(=O)N=[N+]([O-])c1ccccc1.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1I Can't do disconnected structures.
O=C(Nc1ccc(Cl)cc1N(=O)=O)c2cc(Cl)cc(Cl)c2O	4.98	-5.23	0.39	0.73			O=C(Nc1ccc(Cl)cc1[N+](=O)[O-])c1cc(Cl)cc(Cl)c1O
COc1ccc(N(=O)=O)cc1NC(C)=O	1.25	-2.51	0.32	0.74			COc1ccc([N+](=O)[O-])cc1NC(C)=O
O=C(c1c(F)cccc1F)N2CCCC2	1.95	-2.34	0.77	1.52			O=C(c1c(F)cccc1F)N1CCCC1
CCOc1ccccn1	1.86	0.24	0.39	0.69			CCOc1ccccn1
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2	-0.07	-2.46	0.37	0.83			NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2
CC1CN(N=O)CC(C)N1	0.46	-0.82	0.53	1.16			CC1CN(N=O)CC(C)N1
O=C1CC(c2ccccc2)ON1	0.97	-1.80	0.62	2.39		logS	O=c1cc(-c2ccccc2)o[nH]1
COC(=O)c1ccccc1S(=O)(=O)NC(=O)N=C2NC(C)CC(C)N2	1.10	-3.46	0.81	1.38			COC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(C)cc(C)[nH]1
NC(Cc1ccc(O)c(O)c1)C(=O)OCC2CCCCO2	0.80	-2.89	0.40	1.21			NC(Cc1ccc(O)c(O)c1)C(=O)OCC1CCCCO1
O=NN1CCOCC1	-0.61	-0.10	0.35	0.90			O=NN1CCOCC1
Cc1ccc(CC(=O)O)cc1	2.14	-2.00	0.30	0.72			Cc1ccc(CC(=O)O)cc1
N#CCCCCCCCCC#N	1.77	-3.21	0.32	1.27			N#CCCCCCCCCC#N
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NCN2	-0.65	-2.01	0.36	0.68			NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NCN2
Cn1c(N(=O)=O)cnc1C2CC2	1.12	-1.81	0.65	0.71			Cn1c([N+](=O)[O-])cnc1C1CC1
Cc1ccc(C)c(NN=C(C#N)C#N)c1	2.99	-3.60	0.30	2.39		logS	Cc1ccc(C)c(NN=C(C#N)C#N)c1
Cc1ccc(SCCNc2ccccc2C(N)=O)cc1	3.57	-4.46	0.75	1.01			Cc1ccc(SCCNc2ccccc2C(N)=O)cc1
COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3	3.02	-2.81	0.34	2.39		logS	COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
c1ccc(N2CCNCC2)cc1	1.54	-1.08	0.39	1.23			c1ccc(N2CCNCC2)cc1
COC(=O)CS(=O)(=O)c1ccccc1	0.68	-2.05	0.51	1.13			COC(=O)CS(=O)(=O)c1ccccc1
CCCOC1OC(CO)C(O)C(O)C1O	-1.59	0.25	0.32	0.80			CCCOC1OC(CO)C(O)C(O)C1O
NC1CC3CC1c2cc(C(F)(F)F)ccc23	3.15	-3.13	0.30	1.67			NC1CC2CC1c1cc(C(F)(F)F)ccc12
N=C(N)N=Nc1ccc(NNC(N)=O)cc1	0.16	-3.02	0.84	1.44			N=C(N)N=Nc1ccc(NNC(N)=O)cc1
CC(=O)c1ccccc1OCC(=O)O	1.15	-2.19	0.34	0.98			CC(=O)c1ccccc1OCC(=O)O
CCCCCCCCCCC(=O)O	4.49	-3.91	0.32	0.68			CCCCCCCCCCC(=O)O
Clc1ccc(Cl)c(c2c(Cl)ccc(Cl)c2Cl)c1	6.78	-7.62	0.30	0.61			Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1
COc1cccc(Cc2cnc(c3ccccc3)c(c4ccccc4)n2)c1	5.32	-5.77	0.30	0.79			COc1cccc(Cc2cnc(-c3ccccc3)c(-c3ccccc3)n2)c1
CCCOC(=O)NCCCN(C)C	1.00	-0.37	0.80	1.35			CCCOC(=O)NCCCN(C)C
C=CC#Cc1ccc(c2cccs2)s1	4.55	-4.13	0.82	1.60			C=CC#Cc1ccc(-c2cccs2)s1
CC(C)(C)N(NC(=O)c1ccc(F)cc1)C(=O)c2ccccc2Cl	3.08	-5.29	0.31	0.87			CC(C)(C)N(NC(=O)c1ccc(F)cc1)C(=O)c1ccccc1Cl
CC(=O)OCc1ccc(N(=O)=O)cc1	2.01	-2.88	0.41	1.02			CC(=O)OCc1ccc([N+](=O)[O-])cc1
O=C(CN1CCCCC1)Nc2ccc(I)cc2	3.09	-3.67	0.63	1.09			O=C(CN1CCCCC1)Nc1ccc(I)cc1
CCCCCC1CSSC1=S	4.31	-4.52	0.79	1.24			CCCCCc1cssc1=S
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1	6.39	-7.08	0.30	1.06			Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1
CCCCCC1(c2ccc(S(=O)CC)c(N(=O)=O)c2)OCCO1	3.39	-2.90	0.81	1.39			CCCCCC1(c2ccc(S(=O)CC)c([N+](=O)[O-])c2)OCCO1
CCCCCSCS(=O)CC(CO)NC(=O)C=CC1C(C)NC(=O)NC1=O	0.34	-2.98	0.59	1.60			CCCCCSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
O=C(O)CCCCCCCN1C(=O)C=CC1=O	1.86	-2.01	0.38	1.29			O=C(O)CCCCCCCN1C(=O)C=CC1=O
O=CC1=CC=C2C(C(=O)O)CCN2c3cc(Br)ccc13	2.82	-3.37	0.79	1.85			O=CC1=CC=C2C(C(=O)O)CCN2c2cc(Br)ccc21
CCCCCCc1ccncc1	4.23	-2.94	0.33	1.03			CCCCCCc1ccncc1
CC(=CC(=O)c1ccc(c2ccccc2Cl)cc1)C(=O)O	3.95	-5.47	0.39	0.91			CC(=CC(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)O
CCN(CC)c1nc(N(C)C)nc(N(C)C)n1	3.47	-2.21	0.32	0.87			CCN(CC)c1nc(N(C)C)nc(N(C)C)n1
CC(C)CN(=O)=O	1.07	-1.23	0.50	0.73			CC(C)C[N+](=O)[O-]
Cc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1	4.32	-4.00	0.33	1.01			Cc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1
CNCC(O)c1ccc(O)c(O)c1	-0.82	-0.99	0.40	0.77			CNCC(O)c1ccc(O)c(O)c1
c1ccc(CC2=NCCN2)cc1	2.05	-2.07	0.48	1.57			c1ccc(CC2=NCCN2)cc1
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2	3.81	-3.42	0.52	1.08			CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
CCN(CC)C(=O)C(C)OC(=O)c1ccccc1	2.20	-2.26	0.57	1.13			CCN(CC)C(=O)C(C)OC(=O)c1ccccc1
CCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2	3.46	-3.52	0.31	1.51			CCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2
NNC(=O)c1ccnc(Br)c1	0.30	-1.81	0.52	1.83			NNC(=O)c1ccnc(Br)c1
O=C(Cn1cnnn1)NC2C(=O)N3C(C(=O)O)=C(CSc4nncs4)CSC23	-0.99	-2.71	0.35	1.30			O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12
COC(=O)CON=C(C)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O	4.51	-5.98	0.64	1.20			COC(=O)CON=C(C)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
CNC12c3ccccc3CC1CCCC2C	3.40	-4.61	0.41	1.32			CNC12c3ccccc3CC1CCCC2C
error in COc1ccc2c(c1)[nH]c(=NCCCNCCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12.NS(=O)(=O)c1ccc2ccccc2c1 Can't do disconnected structures.
Cc1cccc2ccc3ccccc3c12	5.06	-6.27	0.30	0.60			Cc1cccc2ccc3ccccc3c12
Cn1c(C=N(C)=O)cnc1N(=O)=O	-0.20	-1.65	0.62	2.39		logS	Cn1c(C=[N+](C)[O-])cnc1[N+](=O)[O-]
CCOC(=O)C(C#N)=NNc1cc(Cl)c(Cl)c(Cl)c1	5.18	-4.57	0.30	2.39		logS	CCOC(=O)C(C#N)=NNc1cc(Cl)c(Cl)c(Cl)c1
Nc1ccc(Cl)cc1Cl	2.73	-2.43	0.30	0.60			Nc1ccc(Cl)cc1Cl
CCCCCCOC(=O)c1ccc(N)cc1	3.87	-3.84	0.32	0.75			CCCCCCOC(=O)c1ccc(N)cc1
COc1ccc(CC2CNC(=N)NC2=N)cc1I	1.73	-3.94	0.68	1.62			COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1I
N=C1CCNC(=O)N1	-1.59	-1.22	0.45	0.93			N=c1cc[nH]c(=O)[nH]1
N#CCCCCCCC#N	0.75	-2.03	0.31	1.14			N#CCCCCCCC#N
CCC(CC)(C(N)=O)c1ccc2c(c1)OCO2	2.05	-2.78	0.67	1.32			CCC(CC)(C(N)=O)c1ccc2c(c1)OCO2
O=C(CCCCCNCCc1ccc(O)c3NC(=O)Sc13)NCCc2ccccc2	3.44	-5.09	0.72	1.47			O=C(CCCCCNCCc1ccc(O)c2[nH]c(=O)sc12)NCCc1ccccc1
CCC(CC)C(=O)NC(CO)C(O)c1ccc(N(=O)=O)cc1	1.66	-2.35	0.44	0.87			CCC(CC)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
CCOC(=O)C(=Cc1cccc(N(=O)=O)c1)C(=O)OCC	2.82	-4.50	0.32	1.41			CCOC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(=O)OCC
CC(=O)C(F)(F)F	0.90	-1.57	0.49	1.21			CC(=O)C(F)(F)F
CCN(C)(C)=NC(=O)C(O)(c1ccc(F)cc1)c2ccc(F)cc2	-0.06	-5.26	1.20	2.39	logP	logS	CC[N+](C)(C)[N-]C(=O)C(O)(c1ccc(F)cc1)c1ccc(F)cc1
CC(=O)C=Cc1cccc(C(F)(F)F)c1	3.10	-3.41	0.30	1.02			CC(=O)C=Cc1cccc(C(F)(F)F)c1
ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl	5.47	-6.45	0.44	0.91			ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl
CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O	0.28	-3.92	0.31	1.54			CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O
CC(C)(C)C(=O)NN1CC=CCC1	1.79	-0.36	0.40	0.94			CC(C)(C)C(=O)NN1CC=CCC1
COc1ccc(C(N)=O)cc1N=NN(C)C	1.44	-2.69	0.39	1.37			COc1ccc(C(N)=O)cc1N=NN(C)C
Nc1ccc(N=Nc2ccccc2)cc1	4.02	-3.82	0.39	0.89			Nc1ccc(N=Nc2ccccc2)cc1
CC1NC(=O)N(OCC(C)C)C(=O)C1Br	1.14	-2.20	0.76	1.97			Cc1[nH]c(=O)n(OCC(C)C)c(=O)c1Br
CC(C(N)=O)n1nc2ccccc2n1	0.76	-1.84	0.37	0.81			CC(C(N)=O)n1nc2ccccc2n1
O=C1CCC(=O)N1c2ccc(C(F)(F)F)cc2	1.09	-2.22	0.32	1.07			O=C1CCC(=O)N1c1ccc(C(F)(F)F)cc1
N([NH4])=C=C1C=CN(C=C1)(Cl)=O	-0.08	-2.39	1.20	2.39	logP	logS	[N-]=C=C1C=C[N+](=O)C=C1
N=C1NC(Cl)Nc3c1ncn3C2OC(CO)C(O)C2O	-1.29	-1.55	0.75	0.93			N=c1[nH]c(Cl)nc2c1ncn2C1OC(CO)C(O)C1O
C#CCC(O)(c1cccnc1)C2CCCCC2	2.56	-4.24	0.73	0.82			C#CCC(O)(c1cccnc1)C1CCCCC1
C#CCOc1cc(OC(=O)N2CCC(F)(F)CC2)c(Cl)cc1Cl	3.57	-4.59	0.32	0.90			C#CCOc1cc(OC(=O)N2CCC(F)(F)CC2)c(Cl)cc1Cl
CN=C(NC#N)Nc1cccc(C2CSC(=NC(=N)N)N2)c1	0.79	-2.61	0.73	2.39		logS	CN=C(NC#N)Nc1cccc(-c2csc(=NC(=N)N)[nH]2)c1
O=C1C3C4CC5C6C4C1C6C2(OCCO2)C35	0.10	-1.95	0.48	1.27			O=C1C2C3CC4C5C3C1C5C1(OCCO1)C42
CCC(C)n1nnc2ccccc12	2.48	-2.21	0.37	0.84			CCC(C)n1nnc2ccccc21
CCOC(=O)C(C)NC(=O)CCCCSc1ncnc2nc[nH]c12	1.20	-3.73	0.34	1.55			CCOC(=O)C(C)NC(=O)CCCCSc1ncnc2nc[nH]c12
CC(Cl)CCl	2.13	-1.73	0.43	0.76			CC(Cl)CCl
CCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C	3.29	-4.40	0.37	0.71			CCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C
O=C1c3ccccc3C(=O)C1c2ccc4ccccc4n2	3.93	-4.09	0.73	1.61			O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1
Clc1ccc(c2ccc(Cl)c(Cl)c2)c(Cl)c1	6.22	-6.93	0.30	0.60			Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1
CCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1	2.64	-4.55	0.37	1.00			CCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1
COc1ccccc1NC(=O)C2=C(C)N=C(SCC(=O)Nc4ccc(C)c(Cl)c4)C(C#N)C2c3ccco3	4.56	-4.05	0.78	1.12			COc1ccccc1NC(=O)C1=C(C)N=C(SCC(=O)Nc2ccc(C)c(Cl)c2)C(C#N)C1c1ccco1
COc1cc2NC(N3CCN(C(=O)C4COc5ccccc5O4)CC3)NC(=N)c2cc1OC	0.96	-3.11	0.69	1.00			COc1cc2[nH]c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(=N)c2cc1OC
COc1ccc2cc(CC(=O)OCC(=O)N(C)CCO)ccc2c1	1.73	-4.21	0.35	1.43			COc1ccc2cc(CC(=O)OCC(=O)N(C)CCO)ccc2c1
COC(=O)NC1=NC(c2cccc(Br)c2)CN1	1.98	-3.38	0.31	1.70			COC(=O)NC1=NC(c2cccc(Br)c2)CN1
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC	3.44	-3.26	0.71	1.52			CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC
COc1cccc(C)c1	2.63	-2.34	0.30	1.04			COc1cccc(C)c1
CC(O)CNC(=O)C(F)(F)Cn1cnc(N(=O)=O)n1	-0.42	-2.88	0.40	1.15			CC(O)CNC(=O)C(F)(F)Cn1cnc([N+](=O)[O-])n1
O=C1Nc2ccc(N(=O)=O)cc2C1=O	0.80	-2.44	0.58	0.92			O=C1Nc2ccc([N+](=O)[O-])cc2C1=O
CCON=C(OC(=O)c1ccccc1)c2c(OC)ccc(Cl)c2OC	4.29	-5.56	0.74	0.77			CCON=C(OC(=O)c1ccccc1)c1c(OC)ccc(Cl)c1OC
O=C(C=Cc1ccc3c(c1)OCO3)Nc2ccc4c(c2)OCO4	2.42	-3.72	0.77	1.68			O=C(C=Cc1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCO2
CC1CNC(=NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)S1	1.21	-3.06	0.71	1.13			Cc1c[nH]c(=NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1
Cc1cccc(NC(N)=O)c1	1.17	-1.75	0.41	0.73			Cc1cccc(NC(N)=O)c1
CC1CCCC(C)N1C(=O)CSc2nnc(c4ccco4)n2Cc3ccccc3	4.11	-3.90	0.68	1.19			CC1CCCC(C)N1C(=O)CSc1nnc(-c2ccco2)n1Cc1ccccc1
CCOC(=O)C(=Cc1cccc(OCC)c1)C(=O)OCC	3.59	-4.23	0.34	1.39			CCOC(=O)C(=Cc1cccc(OCC)c1)C(=O)OCC
COc1cccc(O)c1	1.32	-0.45	0.31	0.61			COc1cccc(O)c1
CCCOC(=O)n1c(c2cscn2)nc3ccccc13	2.99	-3.29	0.31	1.38			CCCOC(=O)n1c(-c2cscn2)nc2ccccc21
COc1c(OC)c(OC(=O)C(C)(C)C)c2ccccc2c1OC(=O)C(C)(C)C	5.39	-5.80	0.53	1.30			COc1c(OC)c(OC(=O)C(C)(C)C)c2ccccc2c1OC(=O)C(C)(C)C
CNc1cc(CC2CNC(=N)NC2=N)cc(N(C)C)c1OC	1.25	-3.24	0.63	1.61			CNc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(N(C)C)c1OC
CCC(C)C(NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)O	-0.94	-1.93	0.58	1.19			CCC(C)C(NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)O
CCOc1ccc2cc(O)c(O)cc2c1	2.68	-2.88	0.42	0.97			CCOc1ccc2cc(O)c(O)cc2c1
NCC(CC(=O)O)c1ccc(F)cc1	-1.62	-1.93	0.41	1.41			NCC(CC(=O)O)c1ccc(F)cc1
CCOP(=O)(OCC)SCS(=O)(=O)CC	1.59	-1.33	0.39	0.78			CCOP(=O)(OCC)SCS(=O)(=O)CC
CCCCOC(=O)Oc1cccc(C2(C(=O)CC)CCN(C)CC2)c1	2.37	-3.68	0.34	0.89			CCCCOC(=O)Oc1cccc(C2(C(=O)CC)CCN(C)CC2)c1
FC(F)(F)Sc1ccccc1	3.52	-2.53	0.57	1.33			FC(F)(F)Sc1ccccc1
COc1cc(CC2CNC(=N)NC2=N)cc(OC)c1C(C)=O	0.77	-3.51	0.53	1.60			COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(C)=O
NC(=O)C1CCN(C(=O)c2ccc3C(=O)N(Cc4ccco4)C(SCC(=O)c5ccccc5)Nc3c2)CC1	2.69	-4.07	0.71	0.81			NC(=O)C1CCN(C(=O)c2ccc3c(=O)n(Cc4ccco4)c(SCC(=O)c4ccccc4)nc3c2)CC1
CCC(=O)CC(=O)CC	1.18	-0.77	0.43	0.95			CCC(=O)CC(=O)CC
CSc1cc(C(C)C(=O)O)ccc1c2nccs2	3.37	-4.13	0.58	1.01			CSc1cc(C(C)C(=O)O)ccc1-c1nccs1
COC1C(Cl)C(Cl)C(OC)C(Cl)C1Cl	2.63	-3.52	0.41	0.84			COC1C(Cl)C(Cl)C(OC)C(Cl)C1Cl
NC(=O)N(c1ccccc1)c2ccccc2	1.97	-2.41	0.54	1.31			NC(=O)N(c1ccccc1)c1ccccc1
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46	1.68	-2.29	0.36	0.82			O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
CCCC#N	0.59	-0.38	0.32	0.69			CCCC#N
CN(C)C(=O)n1nc(C(C)(C)C)nc1SCC(=O)O	1.18	-2.16	0.72	1.06			CN(C)C(=O)n1nc(C(C)(C)C)nc1SCC(=O)O
c1ccc3c(c1)CNc2ccccc2C3	3.38	-3.85	0.48	1.50			c1ccc2c(c1)CNc1ccccc1C2
Nc1cc(N(=O)=O)ccc1Cl	2.28	-2.59	0.34	0.90			Nc1cc([N+](=O)[O-])ccc1Cl
O=C(Nc1cccc(c3cnc4ccccc4n3)c1)c2cccs2	4.15	-5.17	0.64	0.99			O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1
NS(=O)(=O)c1cccnc1	-0.54	-1.00	0.60	1.58			NS(=O)(=O)c1cccnc1
CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(C(=O)O)CN1c24	0.88	-1.87	0.70	1.65			CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
CCCCN=C=S	2.86	-2.54	0.48	1.81			CCCCN=C=S
Cc1ccc(C)n1N=C2CCC(N(C)CC(C)O)NN2	0.10	-2.22	1.20	2.39	logP	logS	Cc1ccc(C)n1N=c1ccc(N(C)CC(C)O)n[nH]1
CC(=O)Nc1cc(C)c(O)c(C)c1	0.70	-1.86	0.30	0.87			CC(=O)Nc1cc(C)c(O)c(C)c1
CC1CNC2N(C1=O)CCCC2C	0.55	-0.42	0.70	1.30			Cc1cnc2n(c1=O)CCCC2C
C#CCOc1cc(N=CNOCOC)cc(Cl)c1OCC#C	1.85	-4.34	0.68	2.39		logS	C#CCOc1cc(N=CNOCOC)cc(Cl)c1OCC#C
O=C1C=NC(c2ccccc2F)c3cc(Cl)ccc3N1	3.34	-4.55	0.54	1.04			O=C1C=NC(c2ccccc2F)c2cc(Cl)ccc2N1
CCCc1ccc(N(=O)=O)cc1	3.50	-3.42	0.46	0.88			CCCc1ccc([N+](=O)[O-])cc1
COC(=O)C1NC(=NCC(=O)CO)CNC1N(=O)O	1.78	-2.21	1.20	2.39	logP	logS	COC(=O)c1[nH]c(=NCC(=O)CO)cnc1[NH+]([O-])O
Cc1cc2ncccc2c3NC(=N)N(C)c13	1.55	-3.26	0.69	1.18			Cc1cc2[nH]cccc2c2nc(=N)n(C)c12
S=C1NCCN1	-1.07	-1.16	0.34	0.74			S=C1NCCN1
CCc1cc(NC(C)=O)cc(CC)c1O	2.05	-2.54	0.38	1.32			CCc1cc(NC(C)=O)cc(CC)c1O
Cc1cccc(Cl)c1Nc2ccccc2CC(=O)O	4.59	-4.58	0.30	0.73			Cc1cccc(Cl)c1Nc1ccccc1CC(=O)O
CC(C)CN(N=O)C(N)=O	0.51	-1.36	0.53	0.81			CC(C)CN(N=O)C(N)=O
NNS(=O)(=O)c1ccccc1	0.26	-1.21	0.38	0.72			NNS(=O)(=O)c1ccccc1
O=C(O)c1cccc2cccc(C(=O)O)c12	2.07	-2.72	0.34	1.32			O=C(O)c1cccc2cccc(C(=O)O)c12
CC1=NS(=O)(=O)c2c(Cl)cccc2N1	1.03	-2.63	0.64	2.39		logS	CC1=NS(=O)(=O)c2c(Cl)cccc2N1
COC(=O)C(c1ccccc1)C2CCCCN2	1.47	-3.11	0.71	1.20			COC(=O)C(c1ccccc1)C1CCCCN1
OCc1ccc(O)cc1	0.53	-0.32	0.31	0.67			OCc1ccc(O)cc1
COc1ccc(C=O)cc1OC	1.64	-2.08	0.31	1.08			COc1ccc(C=O)cc1OC
O=C(O)c1cccc(O)c1O	1.42	-1.35	0.31	0.77			O=C(O)c1cccc(O)c1O
O=C(O)c1nc(Cl)ccc1Cl	1.70	-1.64	0.40	1.09			O=C(O)c1nc(Cl)ccc1Cl
CCC(Oc1ccc(Cl)cc1C)C(=O)O	3.27	-2.77	0.48	0.62			CCC(Oc1ccc(Cl)cc1C)C(=O)O
C=CCN1CCCC1CNC(=O)c2cc3nn[nH]c3cc2OC	1.10	-2.84	0.43	1.59			C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC
COc1cccnc1CCCCN=C2NCC(Cc3ccc(C)nc3)C(=O)N2	2.59	-4.34	0.51	1.49			COc1cccnc1CCCCN=c1[nH]cc(Cc2ccc(C)nc2)c(=O)[nH]1
CC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl	6.06	-6.74	0.39	0.70			CC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl
Cc1cc(C)cc(Cl)c1	3.81	-3.65	0.30	1.22			Cc1cc(C)cc(Cl)c1
COc1ccccc1C=C(C(C)=O)C(C)=O	1.80	-3.49	0.30	1.25			COc1ccccc1C=C(C(C)=O)C(C)=O
CCCC1CSSC1=S	3.35	-3.66	0.74	1.46			CCCc1cssc1=S
NC(Cc1ccc(O)cc1)C(=O)NC(Cc2ccccc2)C(=O)O	-0.71	-3.84	0.50	1.53			NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O
CC1OCCC(=O)C1O	-0.69	0.65	0.61	0.71			Cc1occc(=O)c1O
Cc1c(N(=O)=O)ncn1C	-0.04	-1.65	0.36	0.70			Cc1c([N+](=O)[O-])ncn1C
COC(=O)c1cnn2c(C(F)(F)F)cc(c3cc(OC)c(OC)c(OC)c3)nc12	3.13	-4.13	0.68	2.39		logS	COC(=O)c1cnn2c(C(F)(F)F)cc(-c3cc(OC)c(OC)c(OC)c3)nc12
CCOC(=O)CNC(=O)C1CN(CC)c2nc(C)ccc2C1=O	1.62	-2.58	0.69	0.98			CCOC(=O)CNC(=O)c1cn(CC)c2nc(C)ccc2c1=O
Clc1ccc(c2cc(Cl)ccc2Cl)c(Cl)c1	6.23	-6.98	0.30	0.60			Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1
O=C(O)CCCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1	1.64	-3.45	0.30	2.39		logS	O=C(O)CCCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1
Clc1nc(Cl)c(Cl)[nH]1	2.80	-0.76	0.73	1.02			Clc1nc(Cl)c(Cl)[nH]1
CSc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	4.09	-4.50	0.79	1.00			CSc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC12C	4.15	-4.93	0.40	0.65			C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C
CNC(=O)ON=Cc1cccc(Oc2ccccc2)c1	3.11	-4.50	0.50	1.07			CNC(=O)ON=Cc1cccc(Oc2ccccc2)c1
CC(C)Cc1ccccc1	4.13	-4.19	0.51	0.61			CC(C)Cc1ccccc1
NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1	1.00	-2.93	0.58	0.89			NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1
CC(=O)Nc1cc(Br)cc(C(F)(F)F)c1Cl	3.30	-4.58	0.31	1.58			CC(=O)Nc1cc(Br)cc(C(F)(F)F)c1Cl
COc1ccc(N)c(N(=O)=O)c1	1.61	-2.03	0.31	0.74			COc1ccc(N)c([N+](=O)[O-])c1
O=NN(CCCl)C(=O)NCCCl	1.24	-2.15	0.47	1.67			O=NN(CCCl)C(=O)NCCCl
O=CNc1ccc(N(=O)=O)cc1	1.26	-2.13	0.31	0.66			O=CNc1ccc([N+](=O)[O-])cc1
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C	3.43	-3.43	0.48	0.92			CC(C)OC(=O)c1ccccc1C(=O)OC(C)C
